Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Senna-kun (pink pads),Dog,13,$195- 275,$100- 180,$50- 75,46049,Motomachi Kitamura
Senna-kun (red heart),Dog,15,$145- 180,$80- 125,$25- 40,46109,Japan
September (neck ru e),Bear,Birthday,$1-5,$1,$1,4372,
September (party hat),Bear,Birthday,$1-5,$1,$1,4548,
Sequoia,Bear,"7,10",$2-7,$1-3,$1,4516,
Sequoia (2010),Bear,17,$14-25,$3-9,$1-3,40808,
Serenade,Robin,BBOM,$3-9,$1-3,$1,48411,BBOM
Serenity,Dove,"7,10",$7-15,$1-5,$1,4533,
"Shake, Rattle, & Beanie",Bear: Elvis,15,$8-19,$3-5,$1-3,47129,Walgreens
Shampoodle,Dog: Poodle,15,$125- 250,$75- 125,$40- 60,40582,
Shamrock,Bear,"7,8",$1-5,$1,$1,4338,
ShaqBear,Bear,14,$1-9,$1-3,$1,40372,
Shasta,Bear,12,$2-9,$1-3,$1,40070,
Shasta (extra FTD tag),Bear,12,$65-95,$35-40,$1,40070,FTD Promo
Shearsly,Lamb,BB2.0,$5-10,$1-3,$1,42007,
Sheba,Bear,15,$14-20,$3-5,$1-3,46119,Harrods
Sheepishly,Sheep,16,$4-9,$1-3,$1,40764,
Sheets,Ghost,5,$1-5,$1,$1,4260,
Sheldon J. Plankton,SpongeBob,15,below,below,below,40664,see SpongeBob
Sherbet (blue),Bear,"7,11",$3-7,$1-3,$1-3,40004,
Sherbet (hot pink),Bear,11,$3-7,$1-3,$1-3,40004,
Sherbet (light green),Bear,"7,10",$3-7,$1-3,$1-3,4560,
Sherbet (light pink),Bear,"7,10",$3-7,$1-3,$1-3,4560,
Sherbet (light yellow),Bear,"7,10",$3-7,$1-3,$1-3,4560,
Sherbet (lilac),Bear,"7,11",$3-7,$1-3,$1-3,40004,
Sherbet (white/purple),Bunny Rabbit,18,$7-15,$1-5,$1-3,40944,
Sherbet (multi-colored),Bunny Rabbit,19,$7-15,$1-5,$2,42188,
Sherwood,Bear,"7,11",$2-5,$1-3,$1-3,40023,
Shiloh,Black footed ferret,14,$20-40,$8-12,$2-5,44208,Ty Store WWF
ShiShi,Moshi Monsters,18,$12-15,$3-5,$1,46195,UK
ShiShi Key-clip,Moshi Monsters,19 sm,$4-9,$1,$1,46214,UK
Shivers,Bear,12,$3-9,$1,$1,40115,
Shocks,Elephant,15,$8-25,$4-7,$1-3,40600,
Shocks with Maliha and Jade hang tag,Elephant,15,$20-40,$10-19,$3-5,40600,St. Louis Zoo - Shocks tush tag
Shooting Star (grey),Bear,13,$18-27,$7-11,$1-3,46048,Harrod's
Shooting Star (white),Bear,13,$18-27,$7-11,$1-3,46047,Harrod's
Shooting Star In Case w/ cert grey,Bear,13,$20-40,$12-20,$1,46048,Harrod's
Shooting Star In Case w/ cert white,Bear,13,$20-49,$12-20,$1,46047,Harrod's
"Shooting Star In Case w/ cert white, signed hang tag",Bear,13,$375- 425,$190- 250,$1,46047,Harrod's Ty Signed
Shortstop,Bear,13,$5-10,$1-3,$1,40252,
Shrek (with Shrek the Halls DVD),Shrek,15,$15-25,$10-20,$3-5,47103,DVD stores
Shrek (with Shrek the Third DVD),Shrek,15,$15-25,$10-20,$3-5,47103,DVD stores
Shrek (with Forever After the Final Chapter DVD),Shrek,15,$15-30,$10-21,$3-6,47103,Walmart
Shrek (santa hat) without any DVD,Shrek,15,$5-10,$1-5,$1,47103,missing DVD - wasn't sold on own
Shudders,Bear,14,$10-21,$2-7,$1-3,40418,
Siam,Siamese,"7,9",$4-10,$1-3,$1,4369,
Siberia,Polar Bear,15,$7-18,$3-5,$1-3,40662,
Siberia (with Golden Compass DVD),Polar Bear,15,$10-20,$4-7,$1-3,40662,Walmart/Sams
Sid,Ice Age,15,$10-39,$3-8,$1-3,40774,Prices vary widely
Side-kick,Dog: Beagle,"7,10",$1-6,$1,$1,4532,
Siesta,Donkey,12,$4-9,$1-3,$1,4439,Ty Store
Silent Night Star (Patrick Star),SpongeBob,15,below,below,below,40691,see SpongeBob
Silky,Pig,Pinkys,$4-7,$1,$1,40201,
Silky Key-clip,Pig,Pinkys Sm,$2-5,$1,$1,40398,
Silver,Cat,5,$5-15,$1-5,$1,4242,Known dealers are getting more $$$
Silver,Bear,12,$5-15,$1-5,$1,46001,Asia-Paci c
Simba,Lion King,Sparkle,$5-10,$1-3,$1,41263,Disney
Simba (with sound),Lion King,Sparkle,$10-15,$2-5,$2,41088,Disney
Simon,Alvin & Chipmunks,15,$17-30,$13-16,$7-12,40800,Known dealers are getting more $$$
"Simon (Santa, blue)",Alvin & Chipmunks,"18, 19",$14-22,$9-13,$6-9,40936,Known dealers are getting more $$$
Singabear,Bear,11,$9-15,$1-5,$1,4630,Singapore
Singapore,Bear,13,$6-15,$1-5,$1,46023,Asia-Paci c
Sis,Dog: Cocker Spaniel,12,$3-15,$1-5,$1,44017,Ty Store - well known dealers are getting more $$$
Sizzle,Bear,"7,9",$1-5,$1,$1,4399,
"Skipper (with DVD) ""Smiles, All Smiles""",Madagascar,15,$10-20,$1-10,$1,40760,DVD stores - Madagascar Escape 2 Africa DVD Known dealers are getting more $$$
"Skipper (without DVD) ""Smiles, All Smiles"" phrase",Madagascar,15,$3-17,$2-4,$1-3,40760,missing Madagascar Escape 2 Africa DVD
"Skipper (with DVD) ""Just smile and wave boys..."" phrase",Madagascar,15,$10-20,$1-10,$1,47107,DVD stores - Madagascar DVD
"Skipper (without DVD) ""Just smile and wave boys...""",Madagascar,15,$3-17,$2-4,$1-3,47107,missing Madagascar DVD
Skips,Bear,14,$8-18,$1-5,$1,44083,Ty Store
Skis,Bear,14,$2-9,$1-3,$1,40438,Most sell on the lower side
Skunkers,Skunk,BB2.0,$9-18,$1-5,$1,42044,
Slamdunk,Gira e,14,$9-20,$3-7,$1-3,40414,
Slapshot,Penguin,15,$8-16,$3-5,$1-3,40618,
Slayer,Dragon,"6,7",$1-7,$1,$1,4307,
Sledder,Dog Husky,BB2.0,$10-15,$5-8,$1-3,42018,Birthday 01/09/08
Sledder (2008 small eyes),Dog Husky,"17,18",$10-25,$2-7,$1-5,42018,Birthday 01/09/08
Sledder (2012 big eyes),Dog Husky,19,$8-17,$2-7,$1-5,42018,Birthday 12/22/11 (blue in ears)
Sledge,Hammerhead,"7,10",$4-12,$1-5,$1,4538,
Sleighbelle,Reindeer,12,$7-14,$1-5,$1-3,40144,Green
Sleighbelle,Reindeer,12,$7-14,$1-5,$1-3,40144,White
Sleighride,Horse,15,$2-6,$1,$1,40708,
Slick,Fox,12,$5-11,$2-4,$1-3,40072,
Slippery,Seal,5,$2-5,$1,$1,4222,
Slither,Snake,1,$500- 1100,$250- 500,$45- 100,4031,Needs authentication for higher value
Slither,Snake,2,$250- 650,$140- 300,$45- 100,4031,Needs authentication for higher value
Slither,Snake,3,$200- 500,$100- 250,$45- 100,4031,Needs authentication for higher value
Slithery,Snake,BB2.0,$12-17,$5-9,$1-3,42033,
Slowpoke,Sloth,5,$2-6,$1,$1,4261,
Slush Key-clip,Dog: Husky,15 sm,$8-20,$1,$1,40677,Well known dealers are getting the higher side
Sly (brown belly),Fox,4,$12-30,$1-3,$1,4115,
Sly (white belly),Fox,"4,5",$2-8,$1,$1,4115,Mose sell on the lower side
Smart,Owl,"7,8",$2-8,$1,$1,4353,
Smarter,Owl,"7,10",$2-8,$1,$1,4526,
Smartest,Owl,"7,11",$2-8,$1,$1,4591,
Smarty (green chest),Owl,13,$2-8,$1,$1,44050,Ty Store
Smarty (maroon chest),Owl,13,$2-8,$1,$1,40232,Retail
"Smarty (maroon chest, no cap)",Owl,13,$2-8,$1,$1,40232,Ty Store
Smarty Jones,Horse,15,$8-12,$1-3,$1,40698,US
Smarty Jones (extra tag),Horse,15,$14-20,$3-7,$1,40698,Kentucky Derby Store
Smash,Bear,13,$2-6,$1,$1,40270,USA - gold crest
Smash (U.S. Open),Bear,13,$30-60,$19-35,$5-12,47011,U.S. Open - silver crest - goes low on auction
Smitten,Bear,"7,11",$2-7,$1,$1,4577,
Smitten (2010),Hedgehog,16,$9-25,$4-7,$1-3,40805,Well known dealers are getting the higher side
Smokey (big eyes),Bunny Rabbit,19,$4-9,$1-3,$1,42266,
Smooch,Bear,"7,8",$2-8,$1,$1,4335,Most sell on the lower side
SMOOCH-e,Bear,12,$3-10,$1-3,$1,4435,Ty Store
Smooches (purse) (dark pink),Purse Lips,Pinkys,$3-9,$1-3,$1,40303,
Smooches (purse) (light pink),Purse Lips,Pinkys,$3-9,$1-3,$1,40303,
Smoochy,Frog,5,$2-10,$1,$1,4039,"There are 3 versions
 : single stitch mouth, double stitch mouth and felt mouth"
Smoothie,Bear,16,$12-20,$4-9,$1-3,47134,Hershey's/ Walgreens
Smoothie,Gira e,15,$40- 100,$20-30,$10- 20,40762,These go up a lot around Valentine's Day.
Smudges,Dog: Poodle,13,$9-25,$2-5,$1-3,40225,
Snacks,Bear,15,$7-15,$2-5,$1,40583,
Sneakers,Dog,14,$7-22,$3-5,$1-3,40461,Sells low on auction
Sneaks,Raccoon,15,$10-15,$3-5,$1,40712,
Sneaky,Black Cat,18,$15-20,$2-9,$1-3,40928,
Sneaky,Leopard,"6,7",$2-10,$1,$1,4278,Most sell on the lower side
Snicky (Big Eyes),Dog,19,$8-20,$2-7,$1-4,42182,
Sni er,Dog: Beagle,"6,7",$4-10,$1-3,$1,4299,
Sni s,Pig,BB2.0,$1-8,$3-5,$1-3,42029,
Snip,Cat,"4,5",$1-10,$1,$1,4120,Most sell on the lower side
Snips (and Memory Box),Bear,12,$10-25,$1-10,$1,49008,BBOC
Snips Missing Memory Box,Bear,12,$5-15,$2-5,$1,49008,BBOC
Snivy,Pokemon,18,$50-75,$20-30,$8-15,46183,UK - patience needed. Auction prices are much lower than BIN
Snocap (fox),Fox,"7,10",$5-10,$1-3,$1,4573,
Snocap (reindeer),Reindeer,17,$5-10,$1-3,$1,40866,Higher at Christmas
Snookums,Dog: Valentine,13,$4-8,$1-3,$1,40261,
Snoops,Raccoon,13,$8-15,$2-5,$1-3,40244,
Snoopy (Cedarfair website),Peanuts,15,$25-35,$12-20,$1,47078,Camp Snoopy
Snoopy (Knott's website),Peanuts,15,$25-35,$12-20,$1,47068,Knott's Berry Farm
Snoopy (Musical),Peanuts,17,$20-30,$9-12,$3-5,40851,Musical
Snoopy (non Musical),Peanuts,17,$7-11,$1-3,$1,46166,UK
Snoopy Key-clip,Peanuts,17,$5-9,$1-3,$1,40834,
Snoopy Key-clip (vampire),Peanuts,17,$6-15,$2-5,$1,40853,
Snoopy Pumpkin Keyfllip,Peanuts,17,$9-12,$2-5,$1,40854,
Snoopy Winter Key-clip,Peanuts,17 sm,$8-14,$3-5,$1,40871,
Snort,Bull,"4,5",$1-10,$1,$1,4002,Most sell on the lower side
Snort w/ Tabasco poem,Bull,4,$20-40,$14-20,$1,4002,error tag
Snowball,Snowman,4,$1-8,$1,$1,4201,most sell on the lower side
Snowball,Rabbit/ The Secret Life of Pets,19,$4-12,$1-3,$1,41168,
Snowbank,Penguin,15,$3-10,$1-3,$1,40752,
"Snowbelles (red bear, white akes)",Bear,14,$4-10,$1-3,$1,47028,Hallmark
"Snowbelles (white bear, red akes)",Bear,14,$4-10,$1-3,$1,47028,Hallmark
Snowdrift,Polar Bear,"7,11",$2-9,$1-3,$1,40026,
Snowdrop,Owl,14,$19-25,$9-11,$2-5,44095,Ty Store
Snowdrop,Polar Bear,18,$12-20,$2-7,$1-3,40931,
Snowgirl,Snowman,"6,7",$1-5,$1,$1,4333,
Snowy,The Adventures of Tintin,18,$12-30,$12-18,$2-5,40910,
Snuggins,Dog: Valentine,BBOM,$5-10,$1-3,$1,48433,BBOM
Soar,Eagle,10,$5-10,$3-5,$1,4410,Ty Store
Soar Key-clip,Eagle,14 sm,$8-20,$3-5,$1,40369,
SOCK MONKEY (brown),Monkey,18,$13-18,$6-9,$3-5,40904,
SOCK MONKEY (brown) Key-clip,Monkey,19,$15-20,$7-10,$3-5,40953,
SOCK MONKEY (camou age),Monkey,19,$15-21,$7-10,$3-5,42083,
SOCK MONKEY (gray),Monkey,18,$13-20,$6-10,$3-5,40905,
SOCK MONKEY (gray) Key-clip,Monkey,19,$15-20,$7-10,$3-5,40954,
SOCK MONKEY (Happy Birthday),Monkey,19,$7-10,$3-5,$1,40952,actual name: Happy Birthday Sock Monkey
SOCK MONKEY (mummy),Monkey,19,$11-14,$5-7,$2-4,41007,
SOCK MONKEY (my little monkey blue),Monkey,19,$16-22,$8-11,$3-6,40951,
SOCK MONKEY (my little monkey pink),Monkey,19,$12-17,$6-8,$2-5,40950,
SOCK MONKEY (New York),Monkey,19,$13-18,$6-9,$2-5,40964,
SOCK MONKEY (pink sparkle),Monkey,19,$8-15,$4-7,$2-3,41030,
SOCK MONKEY (pink),Monkey,18,$14-18,$6-9,$3-5,40941,
SOCK MONKEY (purple sparkle),Monkey,19,$10-15,$5-7,$2-4,41031,
